,name,ClipFrac,AverageEpRet,TotalEnvInteracts,LossV,_step,StdVVals,MaxEpRet,_runtime,AverageVVals,MinTrainCleanliness,StdTrainCleanliness,KL,LossPi,MaxVVals,MinVVals,EpLen,StopIter,DeltaLossPi,AverageTrainCleanliness,Time,Epoch,Entropy,MinEpRet,StdEpRet,DeltaLossV,_timestamp,MaxTrainCleanliness,_wandb,MaxQ1Vals,StdTestEpRet,MinCleanliness,StdLogPi,MinQ2Vals,AverageQ1Vals,LossQ,AverageLogPi,MinLogPi,StdQ1Vals,MinTestEpRet,AverageTestEpRet,StdQ2Vals,AverageQ2Vals,MaxQ2Vals,MinQ1Vals,MaxTestEpRet,AverageCleanliness,MaxLogPi,TestEpLen,StdCleanliness,MaxCleanliness,Maxcleanliness,Averagecleanliness,Mincleanliness,Averagetrain_cleanliness,Stdcleanliness,Stdtrain_cleanliness,Mintrain_cleanliness,Maxtrain_cleanliness,alpha,gamma,epochs,polyak,algorithm,batch_size,max_ep_len,learning_rate,updates_after,steps_per_epoch,num_test_episodes,lr,clip_ratio
224,atomic-sweep-120,1.0,298,7200.0,19.03116226196289,7.0,0.0,298,169.0,1.0,0.07450000196695328,0.0,1640.8382568359375,0.23508921265602112,1.0,1.0,900,0.0,0.0,0.07450000196695328,167.4754159450531,7.0,0.9189385771751404,298,0,0.0,1655774364.0,0.07450000196695328,{'runtime': 168},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8497885133511158,8.0,0.995,ppo,100.0,900.0,0.002985887151430015,400.0,900.0,3.0,0.002985887151430015,0.2739154801731106
225,smart-sweep-119,1.0,236,7200.0,22.918846130371097,7.0,0.0,236,170.0,1.0,0.05900000035762787,0.0,11112.8603515625,0.2819506824016571,1.0,1.0,900,0.0,0.0,0.05900000035762787,168.34790563583374,7.0,0.9189385771751404,236,0,0.0,1655774183.0,0.05900000035762787,{'runtime': 169},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9199816212014474,8.0,0.995,ppo,100.0,900.0,0.003117457690037426,400.0,900.0,3.0,0.003117457690037426,0.19017444184589877
226,pretty-sweep-118,1.0,16,7200.0,3.573347568511963,7.0,0.0,16,341.0,1.0,0.004000000189989805,0.020250000059604645,1948.4886474609375,0.22865021228790283,1.0,1.0,15,0.0,0.0,0.024250000715255737,338.2428982257843,7.0,0.9189385771751404,16,0,0.0,1655774354.0,0.04450000077486038,{'runtime': 339},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6564791993792235,8.0,0.995,ppo,64.0,900.0,0.005746283897348596,400.0,900.0,3.0,0.005746283897348596,0.12484470095102854
227,earnest-sweep-117,1.0,203,7200.0,742.02392578125,7.0,0.0,336,171.0,1.0,0.017500000074505806,0.02775587886571884,9144.6162109375,0.3388538956642151,1.0,1.0,310,0.0,0.0,0.05483333393931389,168.91540813446045,7.0,0.9189385771751404,70,133,0.0,1655774002.0,0.08399999886751175,{'runtime': 170},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.973289276920776,8.0,0.995,ppo,100.0,900.0,0.0010939503557593953,400.0,900.0,3.0,0.0010939503557593953,0.12844766731611418
228,pleasant-sweep-116,1.0,514,7200.0,9.002228736877441,7.0,0.0,514,155.0,1.0,0.12849999964237213,0.0,10825.6162109375,0.272384375333786,1.0,1.0,900,0.0,0.0,0.12849999964237213,152.80081009864807,7.0,0.9189385771751404,514,0,0.0,1655773820.0,0.12849999964237213,{'runtime': 153},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6436568822024852,8.0,0.995,ppo,100.0,900.0,0.004402004579008927,400.0,900.0,3.0,0.004402004579008927,0.1834321251209442
229,fallen-sweep-115,1.0,168,7200.0,201.9763946533203,7.0,0.0,168,334.0,1.0,0.041999999433755875,0.05549999698996544,9117.0693359375,0.3144141137599945,1.0,1.0,157,0.0,0.0,0.09749999642372131,331.11884355545044,7.0,0.9189385771751404,168,0,0.0,1655773999.0,0.15299999713897705,{'runtime': 332},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.9205875787739912,8.0,0.995,ppo,64.0,900.0,0.0018905845157668065,400.0,900.0,3.0,0.0018905845157668065,0.21730541705029544
230,lemon-sweep-114,1.0,560,7200.0,8.258265495300293,7.0,0.0,560,173.0,1.0,0.14000000059604645,0.0,4664.341796875,0.2969719469547272,1.0,1.0,900,0.0,0.0,0.14000000059604645,170.77592611312866,7.0,0.9189385771751404,560,0,0.0,1655773656.0,0.14000000059604645,{'runtime': 171},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6206641637683102,8.0,0.995,ppo,100.0,900.0,0.005314028460795352,400.0,900.0,3.0,0.005314028460795352,0.1413930588990478
231,glorious-sweep-113,1.0,576,7200.0,15.602838516235352,7.0,0.0,576,163.0,1.0,0.14399999380111694,0.0,2245.679443359375,0.2748388648033142,1.0,1.0,900,0.0,0.0,0.14399999380111694,161.3804202079773,7.0,0.9189385771751404,576,0,0.0,1655773475.0,0.14399999380111694,{'runtime': 162},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6805660596439488,8.0,0.995,ppo,100.0,900.0,0.0009923878266584177,400.0,900.0,3.0,0.0009923878266584177,0.16281380359536324
232,comfy-sweep-112,1.0,276,7200.0,16.690643310546875,7.0,0.0,400,342.0,1.0,0.03799999877810478,0.02865600772202015,3607.754638671875,0.2424111366271973,1.0,1.0,388,0.0,0.0,0.05949999764561653,338.95740580558777,7.0,0.9189385771751404,152,124,0.0,1655773654.0,0.10000000149011612,{'runtime': 340},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7016605363602421,8.0,0.995,ppo,64.0,900.0,0.007890766256548753,400.0,900.0,3.0,0.007890766256548753,0.33612492509259123
233,hearty-sweep-12,,62,7199.0,,7.0,,62,994.0,,0.01549999974668026,0.0,,-0.031321898102760315,,,900,,,0.01549999974668026,987.7067284584044,8.0,,62,0,,1655774237.0,0.01549999974668026,{'runtime': 993},1.0,9.092121124267578,0.0,2.827672004699707,1.0,1.0,10.632631301879885,1.5408614873886108,-9.46029567718506,0.0,0.0,12.0,0.0,1.0,1.0,1.0,22.0,0.0029999997932463884,13.631566047668455,900.0,0.0022730303462594748,0.005499999970197678,,,,,,,,,0.6286601066500893,0.8986018691780349,8.0,0.8027605653548218,sac,100.0,900.0,0.01009499063144457,400.0,900.0,3.0,0.01009499063144457,
